"","Date","Bitcoin_Price","Bitcoin_Vol.","Ethereum_Price","Ethereum_Vol.","Eth_Price_Level","Bit_Price_Level","Eth_Classification","Bit_Classification","btc_weekly_return","btc_weekly_change","Bit_Class_Binary","S&P_500_Price","Nasdaq_100_Price","Nasdaq_100_Vol.","Microsoft_Price","Microsoft_Vol.","Apple_Price","Apple_Vol.","Google_Price","Google_Vol.","Nvidia_Price","Nvidia_Vol."
"8",2019-02-13,3611.5,558020,122.22,6170000,"Low","Low","Low","Low",0.0429421277578836,147.7,0,2753.03,7015.88,168570000,106.81,18390000,42.55,89960000,56.43,28040000,38.22,60540000
"9",2019-02-14,3592.6,498140,120.97,5810000,"Low","Low","Low","Low",0.0358090185676392,123.2,0,2745.73,7022.42,1.68e+08,106.9,21780000,42.7,87340000,56.46,21110000,38.63,82730000
"10",2019-02-15,3604.7,516210,121.73,5690000,"Low","Low","Low","Low",0.0588667273742032,199.4,0,2775.6,7055.18,202530000,108.22,26610000,42.6,98510000,55.98,27830000,39.34,151670000
"11",2019-02-19,3914.3,1440000,144.01,9900000,"Low","Low","Low","Low",0.152044029784855,515.6,0,2779.76,7066.61,150460000,108.17,18040000,42.73,75890000,56.33,21990000,39.16,55190000
"12",2019-02-20,3972.4,698010,149.11,8610000,"Low","Low","Low","Low",0.0848512985771637,309.7,0,2784.7,7062.34,169850000,107.15,21610000,43.01,104460000,56.03,24090000,39.64,54100000
"13",2019-02-21,3936.6,668160,145.78,7210000,"Low","Low","Low","Low",0.083925326284487,303.8,0,2774.88,7035.16,158190000,109.41,29060000,42.77,6.9e+07,55.21,33280000,38.94,44850000
"14",2019-02-22,3965.2,649550,147.97,6790000,"Low","Low","Low","Low",0.0917400881057269,332.2,0,2792.67,7090.62,197940000,110.97,27760000,43.24,75650000,55.83,29440000,39.8,40170000
"15",2019-02-25,3833.7,765870,138.27,10550000,"Low","Low","Low","Low",0.061525681849647,221.2,0,2796.11,7115.43,179060000,111.59,23750000,43.56,87490000,55.87,26210000,39.67,65600000
"16",2019-02-26,3810.3,2090000,136.67,11750000,"Low","Low","Low","Low",0.0605967822746758,216.7,0,2793.9,7123.22,162750000,112.36,21540000,43.58,68280000,56.1,35030000,39.27,48850000
"17",2019-02-27,3814.6,2820000,135.2,16110000,"Low","Low","Low","Low",0.0582295336643825,208.9,0,2792.38,7117.01,166320000,112.17,21490000,43.72,111340000,56.14,22100000,38.85,50030000
