"","Date","Bitcoin_Price","Bitcoin_Vol.","Ethereum_Price","Ethereum_Vol.","Eth_Price_Level","Bit_Price_Level","Eth_Classification","Bit_Classification","btc_weekly_return","btc_weekly_change","Bit_Class_Binary"
"1",2019-02-04,3462.8,503920,107.9,5020000,"Low","Low","Low","Low",NA,NA,0
"2",2019-02-05,3468.4,460950,107.37,4670000,"Low","Low","Low","Low",NA,NA,0
"3",2019-02-06,3404.3,514210,104.63,6150000,"Low","Low","Low","Low",NA,NA,0
"4",2019-02-07,3397.7,471360,104.55,5050000,"Low","Low","Low","Low",NA,NA,0
"5",2019-02-08,3661.7,699230,119.23,9190000,"Low","Low","Low","Low",NA,NA,0
"6",2019-02-11,3631.8,517280,121.3,6130000,"Low","Low","Low","Low",NA,NA,0
"7",2019-02-12,3632,545820,122.64,5740000,"Low","Low","Low","Low",NA,NA,0
"8",2019-02-13,3611.5,558020,122.22,6170000,"Low","Low","Low","Low",0.0429421277578836,147.7,0
"9",2019-02-14,3592.6,498140,120.97,5810000,"Low","Low","Low","Low",0.0358090185676392,123.2,0
"10",2019-02-15,3604.7,516210,121.73,5690000,"Low","Low","Low","Low",0.0588667273742032,199.4,0
"11",2019-02-19,3914.3,1440000,144.01,9900000,"Low","Low","Low","Low",0.152044029784855,515.6,0
"12",2019-02-20,3972.4,698010,149.11,8610000,"Low","Low","Low","Low",0.0848512985771637,309.7,0
"13",2019-02-21,3936.6,668160,145.78,7210000,"Low","Low","Low","Low",0.083925326284487,303.8,0
"14",2019-02-22,3965.2,649550,147.97,6790000,"Low","Low","Low","Low",0.0917400881057269,332.2,0
"15",2019-02-25,3833.7,765870,138.27,10550000,"Low","Low","Low","Low",0.061525681849647,221.2,0
"16",2019-02-26,3810.3,2090000,136.67,11750000,"Low","Low","Low","Low",0.0605967822746758,216.7,0
"17",2019-02-27,3814.6,2820000,135.2,16110000,"Low","Low","Low","Low",0.0582295336643825,208.9,0
"18",2019-02-28,3816.6,2310000,135.47,16080000,"Low","Low","Low","Low",-0.0249597629205733,-98.7000000000003,0
"19",2019-03-01,3821.9,1740000,135.72,9730000,"Low","Low","Low","Low",-0.0378864162722787,-151.5,0
"20",2019-03-04,3715.9,2850000,125.97,14110000,"Low","Low","Low","Low",-0.0560636081898084,-221.7,0
"21",2019-03-05,3857.2,3820000,136.82,16740000,"Low","Low","Low","Low",-0.0272369615656209,-109,0
"22",2019-03-06,3863,2520000,137.62,14700000,"Low","Low","Low","Low",0.00764274721548386,28.3000000000002,0
"23",2019-03-07,3875.1,2600000,136.93,13290000,"Low","Low","Low","Low",0.0170065349185102,63.7999999999997,0
"24",2019-03-08,3865.9,2960000,133.85,12380000,"Low","Low","Low","Low",0.0134483301001416,50.3000000000002,0
"25",2019-03-11,3870.3,3190000,132.99,11170000,"Low","Low","Low","Low",0.0140701147618301,52.7000000000003,0
"26",2019-03-12,3886,2900000,133.8,13030000,"Low","Low","Low","Low",0.0167717627358119,63.0999999999999,0
